ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Latitude,Longitude
,West Showa,DireInchini,Buyama Roge,Yeyii forest,14.75ha,349979.0,963615.0,, 8.71501° N, 37.63628° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349969.0,963673.0,, 8.71553° N, 37.63619° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349908.0,963710.0,, 8.71586° N, 37.63563° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349891.0,963760.0,, 8.71632° N, 37.63548° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349844.0,963834.0,, 8.71698° N, 37.63505° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349819.0,963906.0,, 8.71763° N, 37.63482° E
1.0,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349810.0,963951.0,, 8.71804° N, 37.63473° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349824.0,963992.0,, 8.71841° N, 37.63486° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349796.0,964094.0,, 8.71933° N, 37.63460° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349745.0,964148.0,, 8.71982° N, 37.63414° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349700.0,964146.0,, 8.71980° N, 37.63373° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349686.0,964127.0,, 8.71963° N, 37.63360° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349661.0,964138.0,, 8.71973° N, 37.63337° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349559.0,964155.0,, 8.71988° N, 37.63244° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349524.0,964116.0,, 8.71952° N, 37.63213° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349552.0,964051.0,, 8.71894° N, 37.63238° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349555.0,963987.0,, 8.71836° N, 37.63241° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349604.0,963940.0,, 8.71793° N, 37.63286° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349622.0,963890.0,, 8.71748° N, 37.63303° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349668.0,963844.0,, 8.71707° N, 37.63345° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349714.0,963792.0,, 8.71660° N, 37.63387° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349710.0,963716.0,, 8.71591° N, 37.63383° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349723.0,963657.0,, 8.71538° N, 37.63395° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349747.0,963641.0,, 8.71524° N, 37.63417° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349773.0,963627.0,, 8.71511° N, 37.63441° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349754.0,963567.0,, 8.71457° N, 37.63424° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349700.0,963527.0,, 8.71420° N, 37.63375° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349759.0,963481.0,, 8.71379° N, 37.63428° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349762.0,963456.0,, 8.71356° N, 37.63431° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349800.0,963460.0,, 8.71360° N, 37.63466° E
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349846.0,963410.0,, 8.71315° N, 37.63508° E
